date,new cases in Minsk,new cases in Belarus (Johns Hopkins)
2020-06-07,1201,879
2020-06-08,1250,823
2020-06-09,1069,812
2020-06-10,1251,801
2020-06-11,1236,750
2020-06-12,1046,704
2020-06-13,1087,721
2020-06-14,401,732
2020-06-15,576,707
2020-06-16,1175,689
2020-06-19,805,676
2020-06-20,546,603
2020-06-21,108,569
2020-06-22,581,518
2020-06-23,797,464
2020-06-24,605,458
2020-06-25,643,437
2020-06-26,572,331
2020-06-27,209,382
2020-06-28,74,380
2020-06-29,415,315
2020-07-01,369,306
2020-07-02,403,274
2020-07-03,70,299
2020-07-04,97,273
2020-07-05,42,284
2020-07-06,313,250
2020-07-07,272,199
2020-07-08,301,221
2020-07-09,213,187
2020-07-10,250,193
2020-07-11,64,163
2020-07-12,12,165
2020-07-13,212,182
2020-07-14,197,155
2020-07-15,108,174
2020-07-16,234,180
2020-07-17,190,159
2020-07-18,80,171
2020-07-19,20,142
2020-07-20,205,118
2020-07-21,209,135
2020-07-22,176,173
2020-07-23,141,167
2020-07-24,178,158
2020-07-25,36,156
2020-07-26,42,130
2020-07-27,148,119
2020-07-28,161,115
2020-07-29,154,152
2020-07-30,167,147
2020-07-31,176,143
2020-08-01,43,138
2020-08-02,7,121
2020-08-03,165,99
2020-08-04,129,84
2020-08-05,115,126
2020-08-06,143,127
2020-08-07,139,111
2020-08-08,35,124
2020-08-09,34,112
2020-08-10,130,97
2020-08-11,136,58
2020-08-12,138,97
2020-08-13,126,101
2020-08-14,115,105
2020-08-15,48,0
2020-08-16,16,208
2020-08-17,124,73
2020-08-18,141,84
2020-08-19,134,128
2020-08-20,171,149
2020-08-21,175,161
2020-08-22,36,174
2020-08-23,27,183
2020-08-24,214,177
2020-08-25,147,82
2020-08-26,168,247
2020-08-27,178,191
2020-08-28,191,181
2020-08-29,81,177
2020-08-30,22,164
2020-09-01,215,119
2020-09-02,250,179
2020-09-03,191,161
2020-09-04,252,183
2020-09-05,94,178
2020-09-06,24,196
2020-09-07,231,172
2020-09-08,269,177
2020-09-09,268,194
2020-09-10,227,189
2020-09-11,274,193
2020-09-12,115,191
2020-09-13,20,198
2020-09-14,296,187
2020-09-15,299,192
2020-09-16,256,211
2020-09-17,350,224
2020-09-18,355,243
2020-09-19,192,231
2020-09-20,33,213
2020-09-21,489,224
2020-09-22,349,206
2020-09-23,275,253
2020-09-24,537,294
2020-09-25,482,306
2020-09-26,193,332
2020-09-27,50,320
2020-09-28,452,337
2020-09-29,576,314
2020-09-30,412,371
2020-10-01,609,388
2020-10-02,515,402
2020-10-03,320,431
2020-10-04,21,0
2020-10-05,551,844
2020-10-06,378,394
2020-10-07,593,415
2020-10-08,665,477
2020-10-09,616,489
2020-10-10,776,0
2020-10-11,377,1063
2020-10-12,641,464
2020-10-13,926,526
2020-10-14,839,597
2020-10-15,555,613
2020-10-16,871,658
2020-10-17,442,671
2020-10-18,207,635
2020-10-19,1223,592
2020-10-20,354,619
2020-10-21,866,733
2020-10-22,999,738
2020-10-23,1212,787
2020-10-24,1346,811
2020-10-25,1260,845
2020-10-26,830,884
2020-10-27,1448,902
2020-10-28,931,936
2020-10-29,1164,984
2020-10-30,1121,970
2020-10-31,799,983
2020-11-01,1363,977
2020-11-02,1161,941
2020-11-03,1043,929
2020-11-06,1767,991
2020-11-07,1175,997
2020-11-08,1044,996
2020-11-09,1150,983
2020-11-10,1533,1038
2020-11-11,1589,1057
2020-11-12,1996,1098
2020-11-13,1809,1167
2020-11-14,1047,1248
2020-11-15,1303,1315
2020-11-16,2092,1263
2020-11-17,2391,1251
2020-11-18,2161,1309
2020-11-19,2379,1382
2020-11-20,2227,1457
2020-11-21,1069,1588
2020-11-22,1043,1564
2020-11-23,2030,1483
2020-11-24,1984,1471
2020-11-25,2172,1496
2020-11-26,2076,1563
2020-11-27,2236,1621
2020-11-28,1510,1691
2020-11-29,1602,1684
