,"Population size (2019, average)"
Российская Федерация,146764655
Белгородская область,1548284
Брянская область,1196339
Владимирская область,1362110
Воронежская область,2326013
Ивановская область,1000658
Калужская область,1005978
Костромская область,635326
Курская область,1105524
Липецкая область,1141703
Московская область,7645255
Орловская область,736483
Рязанская область,1111492
Смоленская область,938626
Тамбовская область,1011357
Тверская область,1265007
Тульская область,1472472
Ярославская область,1256501
Москва,12646679
Республика Карелия,616060
Республика Коми,825354
Ненецкий АО,43970
Архангельская область без АО,1096357
Вологодская область,1164079
Калининградская область,1007349
Ленинградская область,1861870
Мурманская область,744730
Новгородская область,598402
Псковская область,627883
Санкт-Петербург,5390977
Республика Адыгея,458916
Республика Калмыкия,271891
Республика Крым,1912220
Краснодарский край,5661848
Астраханская область,1009924
Волгоградская область,2499272
Ростовская область,4200071
Севастополь,446175
Республика Дагестан,3098492
Республика Ингушетия,502227
Кабардино-Балкария,867285
Карачаево-Черкесия,465546
Северная Осетия,698045
Чеченская Республика,1467838
Ставропольский край,2799408
Республика Башкортостан,4044578
Республика Марий Эл,679899
Республика Мордовия,792851
Республика Татарстан,3900758
Удмуртская Республика,1504172
Чувашская Республика,1220606
Пермский край,2605030
Кировская область,1267255
Нижегородская область,3208785
Оренбургская область,1959921
Пензенская область,1311833
Самарская область,3181285
Саратовская область,2431355
Ульяновская область,1234120
Курганская область,830934
Свердловская область,4313190
Ханты-Мансийский АО,1669236
Ямало-Hенецкий АО,542961
Тюменская область без АО,1528055
Челябинская область,3471061
Республика Алтай,219524
Республика Тыва,325903
Республика Хакасия,535215
Алтайский край,2324983
Красноярский край,2870140
Иркутская область,2394478
Кемеровская область,2666055
Новосибирская область,2795777
Омская область,1935430
Томская область,1078356
Республика Бурятия,984605
Забайкальский край,1062742
Якутия,969503
Камчатский край,313869
Приморский край,1899293
Хабаровский край,1318558
Амурская область,791619
Магаданская область,140692
Сахалинская область,488948
Еврейская АО,159109
Чукотский АО,49975
